Words;Occurences
The;8
foundation;2
of;37
Deutsche;6
Bahn;5
AG;4
is;3
a;26
young;1
company;4
and;27
was;21
founded;1
as;10
joint;1
stock;1
in;32
January;2
1994.;2
It;1
represents;1
the;80
start;1
new;3
age;1
railway;6
history,;1
with;5
two;7
state-run;6
railways;1
now;2
combined;1
into;1
one;5
privately-run;1
company.;1
political;4
economic;2
response;2
to;15
very;1
different;1
challenges;2
last;1
decade;1
20th;1
century.;1
more;5
pleasant;1
begin;1
with:;1
result;2
Monday;1
demonstrations;1
Leipzig;1
against;2
unwillingness;1
inability;1
government;7
GDR;2
accept;1
bring;1
about;1
change;1
through;2
reform,;1
soft;1
revolution;1
achieved;1
success;1
East;1
Germany;3
1989,;2
it;6
had;12
earlier;1
Poland,;1
Hungary;1
Czechoslovakia.;1
This;3
basis;1
for;11
reunification;3
once;1
divided;2
also;2
reuniting;1
systems;2
companies;1
that;10
been;4
by;4
Iron;1
Curtain.;1
Although;1
German;3
states;1
taken;1
place;1
unbelievably;1
quickly,;1
alignment;1
remains;1
constant;1
challenge.;1
From;1
point;1
view;1
railways,;1
main;1
problem;1
extremely;1
poor;1
technical;1
condition;1
system;3
GDR.;2
While;1
there;4
precious;1
little;1
investment;1
network;7
former;1
West,;1
seemed;1
some;2
places;1
if;1
time;1
stood;2
still;2
Reichsbahn.;1
Bundesbahn;8
Reichsbahn;4
Compared;1
West;4
Germany,;1
rail;4
much;1
dense.;1
However,;1
1990,;2
only;2
30;1
percent;5
(3,829;1
km);3
electrified;2
less;1
than;4
third;1
entire;1
track.;2
On;2
other;1
hand,;1
45;1
(11,700;1
almost;2
46;1
(12,300;1
In;4
addition,;1
infrastructure;1
out-of-date,;1
67;1
signal;2
boxes;2
over;1
40;1
years;2
old;1
35;1
8,224;1
bridges;1
viaducts;1
excess;1
100;1
old.;1
Restrictions;1
on;3
maximum;1
speed,;1
permissible;1
axle;1
load;1
sections;1
temporary;1
speed;1
restriction;1
made;2
operations;1
difficult.;1
many;2
cases,;1
points;1
were;4
operated;2
hand.;1
outdated;1
subject;1
dictates;1
planned;1
economy,;1
however,;1
chalked;1
up;4
twice;1
kilometres;1
per;1
passenger;1
year;1
its;5
counterpart.;1
Accordingly,;1
wear;1
higher;1
capital;1
expenditure;1
requirement.;1
furthermore;1
severely;1
overstaffed;1
â€“;1
case;1
every;1
workforce;1
253,000;1
employees;2
half;2
size;1
number;1
trains;1
Bundesbahn.;1
That;1
same;2
year,;1
employed;1
236,000;1
public;1
officials,;1
workers.;1
urgent;1
need;2
reform;7
situation;1
dramatic.;1
Competition;1
from;3
road;1
transport;2
increasingly;1
airlines;1
resulted;1
drastically;1
losing;1
share;1
market;1
terms;1
overall;1
traffic;1
volume.;1
Despite;1
decreasing;1
personnel;1
costs;1
increasing;1
revenues,;1
managed;1
like;1
local;1
authority;2
losses;1
80s;1
cause;1
concern.;1
Debts;1
following;2
at;1
DM;1
44;1
billion.;1
Since;1
1950,;1
each;2
repeatedly;1
set;2
commissions;2
find;1
way;3
out;1
Bundesbahn's;1
financial;1
dilemma.;1
None;1
these;2
produced;1
any;2
long-term;1
success.;1
Shortly;1
before;1
unexpected;1
events;1
GDR,;1
both;1
itself;1
convinced;1
antiquated;1
form;1
no;2
future.;1
July;1
therefore,;1
commission;1
submit;1
plan;1
would;4
release;1
budgetary;1
risk;1
make;2
future-compliant;1
again;1
mode;1
growing;1
single;1
European;1
market.;1
90s;1
everywhere:;1
deregulation;1
while;1
introducing;1
legal;1
requirements;1
market-driven,;1
cost-conscious;1
management;1
possible;3
inevitable.;1
To;1
this;1
added;1
possibility;1
establishing;1
freely;1
negotiable;1
pricing;1
using;1
lines;1
accordance;1
profit-making;1
principles;1
business;1
enterprise.;1
earn;1
money;1
marketplace;1
not;1
pick;1
parliament.;1
Whether;1
have;3
push;1
such;1
fundamental;2
without;1
changed;1
conditions;1
prevailed;1
1989;1
will;1
remain;1
unanswered.;1
other,;1
doubt;1
impossible;1
ignored;1
reunification.;1
understand;1
why;1
parliamentary;1
majority;1
Bundestag;2
approved;2
an;1
amendment;1
constitution;1
whole;1
package;1
legislative;1
amendments;1
2;1
December;1
1993.;1
With;1
559;1
votes;1
favour,;1
12;1
4;1
abstentions,;1
cleared;1
railways.;1
After;1
Bundesrat;1
necessary;1
thirds;1
majority,;1
enter;1
commercial;1
register;1
Berlin;1
end;1
companies,;1
which;1
own;1
special;1
character:;1
owned;1
socialist;1
are;1
history.;1
